Remove #controls,#controls,ICAR scheme,Money Saved,Genotypes,Phenotype:Genotype,
1,10,/,6959,356,1:1,19.5477528089888
2,9,A5,15670,801,1:1,19.5630461922597
3,8,A6,26326,1346,1:1,19.5586924219911
6,5,A9,72196,3693,1:1,19.5494178174926
9,2,/,144489,7390,1:1,19.5519621109608
10,1,/,175925,8998,1:1,19.5515670148922
1,10,/,6959,178,1:2,19.5477528089888
2,9,A5,15670,401,1:2,19.5386533665835
3,8,A6,26326,673,1:2,19.5586924219911
6,5,A9,72196,1846,1:2,19.5547128927411
9,2,/,144489,3695,1:2,19.5519621109608
10,1,/,175925,4499,1:2,19.5515670148922
1,10,/,6959,712,2:1,19.5477528089888
2,9,A5,15670,1603,2:1,19.5508421709295
3,8,A6,26326,2693,2:1,19.5514296323802
6,5,A9,72196,7385,2:1,19.5520649966148
9,2,/,144489,14780,2:1,19.5519621109608
10,1,/,175925,17996,2:1,19.5515670148922
