No Controls,PricePerControl,PricePerLactation,,,,,,,
1,3.0,3,22.9,243655,9418,4709,18835,0.95000,588.60788004599
2,2.9,5.7,20.0,213294,8244,4122,16488,0.95000,515.263491089681
3,2.7,8.1225,17.3,184451,7129,3565,14259,0.95000,445.586321581187
4,2.6,10.2885,14.7,157050,6070,3035,12141,0.95000,379.393010548118
5,2.4,12.21759375,12.3,131020,5064,2532,10128,0.95000,316.509365066702
6,2.3,13.928056875,10.0,106290,4108,2054,8217,0.95000,256.769901859357
7,2.2,15.436929703125,7.8,82798,3200,1600,6401,0.95000,200.01741181238
8,2.1,16.76009510625,5.7,60479,2338,1169,4675,0.95000,146.102546267751
9,2.0,17.9123516448047,3.7,39277,1518,759,3036,0.95000,94.8834240003536
10,1.9,18.9074822917383,1.8,19135,740,370,1479,0.95000,46.2252578463261
11,1.8,19.7583189948665,0.0,0,0,0,0,0.00000,
,,,,,,,,,
,,,,,,,,,
,25.8719944634124,,,,,,,,
,10653,,,,,,,,
,,,0.090909090909091,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,0.06683563315498,1.05263157894737,,,,,,,
