AgeCat;NoControl;Ref;$G:$P = 1:1;$G:$P = 1:2;$G:$P = 2:1
Mothers;1;False;0.762760950019376;0.757271806786689;0.762370462473318
Mothers;1;True;0.767857038612241;0.765125800043076;0.770577076889704
Mothers;10;False;0.558670805724153;0.606597139513322;0.532463000004611
Mothers;10;True;0.58653466140807;0.631229377911358;0.560787458078681
Mothers;11;False;0.484655301691852;0.484655301691852;0.484655301691852
Mothers;11;True;0.484655301691852;0.484655301691852;0.484655301691852
Mothers;2;False;0.769299436674996;0.768420379340841;0.756144522927845
Mothers;2;True;0.789602424811683;0.779342967920926;0.763795073605594
Mothers;5;False;0.762436410617337;0.781191949470925;0.692501410256521
Mothers;5;True;0.77284211716855;0.794878565486708;0.70187106093249
Mothers;8;False;0.663123858265114;0.729528488301049;0.602877314096813
Mothers;8;True;0.671821924547502;0.738707690948144;0.623865018011314
Mothers;9;False;0.618606301323265;0.677390438550222;0.568818778595399
Mothers;9;True;0.634241445946897;0.696489249980751;0.594087716734329
Male candidates;1;False;0.888336490441993;0.885282501935041;0.886988018830668
Male candidates;1;True;0.895138292381606;0.894974191056508;0.89394974087998
Male candidates;10;False;0.84121510525131;0.865965653210502;0.80874411414592
Male candidates;10;True;0.900787092993038;0.912822925186125;0.892463097367545
Male candidates;11;False;0.938364613394485;0.938364613394485;0.938364613394485
Male candidates;11;True;0.938364613394485;0.938364613394485;0.938364613394485
Male candidates;2;False;0.900328312775709;0.89962368058047;0.898149596513746
Male candidates;2;True;0.907366895125501;0.904871909724499;0.907055463938325
Male candidates;5;False;0.908380480972661;0.910475781320848;0.897083854689397
Male candidates;5;True;0.913262041434439;0.911638391140451;0.910285039940109
Male candidates;8;False;0.890279514355235;0.90287340998456;0.859548748067424
Male candidates;8;True;0.908592199316601;0.912914695459562;0.907512483449966
Male candidates;9;False;0.873113661755716;0.896093732683172;0.852751024080678
Male candidates;9;True;0.907986922490545;0.912971838137688;0.8995923382333
Fathers;1;False;0.667490867271738;0.688131990293501;0.674999545598602
Fathers;1;True;0.634267918239135;0.667786158811472;0.655708955220918
Fathers;10;False;0.680023666488365;0.674600145580945;0.671010827981305
Fathers;10;True;0.749395842038102;0.732163908826856;0.751639225382547
Fathers;11;False;0.864379362916676;0.864379362916676;0.864379362916676
Fathers;11;True;0.864379362916676;0.864379362916676;0.864379362916676
Fathers;2;False;0.644657282590152;0.691388698233326;0.649729350152094
Fathers;2;True;0.673719652776773;0.6695960958046;0.670634725373555
Fathers;5;False;0.689495880172651;0.692896516964326;0.68080039146058
Fathers;5;True;0.668477670635678;0.69230949063072;0.67621736731247
Fathers;8;False;0.735347134374569;0.69634188973884;0.709950126636693
Fathers;8;True;0.687303604682275;0.676089509318119;0.760614325209392
Fathers;9;False;0.718830634071304;0.710658510934832;0.703779191777615
Fathers;9;True;0.724981728521057;0.687853384547442;0.7634455367924
Female candidates;1;False;0.558089775708095;0.564043782323028;0.553947262624234
Female candidates;1;True;0.560847864430889;0.561695023257832;0.5585237757536
Female candidates;10;False;0.472108329879025;0.487504533641893;0.462994638686317
Female candidates;10;True;0.481983639115431;0.506057989246966;0.481117100231593
Female candidates;11;False;0.44587173417681;0.44587173417681;0.44587173417681
Female candidates;11;True;0.44587173417681;0.44587173417681;0.44587173417681
Female candidates;2;False;0.5625841177566;0.567427554655723;0.549790320831473
Female candidates;2;True;0.570848291272991;0.568635632396327;0.550858842855242
Female candidates;5;False;0.550571061213031;0.566969791515599;0.517445692667998
Female candidates;5;True;0.54880930450848;0.567977666880005;0.512396762466528
Female candidates;8;False;0.51763814325244;0.533694516134607;0.490557911750597
Female candidates;8;True;0.505542470698546;0.535267903638214;0.506971547726287
Female candidates;9;False;0.494417752060561;0.520927145595736;0.473418054195953
Female candidates;9;True;0.502388575404858;0.518468125725711;0.487331827804339
Male candidates1;11;False;0.374633579322774;0.374633579322774;0.374633579322774
Male candidates1;11;True;0.374633579322774;0.374633579322774;0.374633579322774
